"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisformatof","dcrelationisrequiredby","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 37"
"Alcaldia | Trias Vidal de Llobatera, Xavier","Barcelona | Barcelona | Barcelona","2012","","2012","2012-04","","","","","application/pdf","1 p.","application/pdf",11555.0,"","","Mandat 2011-2015","http://hdl.handle.net/11703/86611","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Diada de Sant Jordi | Saint George's Day | Día de San Jorge","Cultura i oci","bans","","Ban de Sant Jordi 2012","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2018","","2017-09-18","2017-09-18","","","","","application/pdf","3 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111176","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Medalles | Civisme | Policia local | Mossos d'Esquadra (Catalunya) | Bombers | Sistema d'Emergències Mèdiques | Atemptats | Medals | Civics | Municipal police | Mossos d'Esquadra (Catalunya) | Fire fighters | Sistema d'Emergències Mèdiques | Attacks | Medallas | Civismo | Policía municipal | Mossos d'Esquadra (Catalunya) | Bomberos | Sistema d'Emergències Mèdiques | Atentados","Sector públic | Seguretat","discursos","","Lliurament de la Medalla d’Or al Mèrit Cívic als cossos de seguretat i serveis d’emergència","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona. Districte 2. Eixample | Nova Esquerra de l'Eixample (Barcelona : Barri) | Entença, Carrer (Barcelona) | Nicaragua, Carrer (Barcelona) | Rosselló, Carrer (Barcelona) | Provença, Carrer (Barcelona) | Barcelona. District 2. Eixample | Nova Esquerra de l'Eixample (Barcelona : Neighborhood) | Entença, Street (Barcelona) | Nicaragua, Street (Barcelona) | Rosselló, Street (Barcelona) | Provença, Street (Barcelona) | Barcelona. Distrito 2. Eixample | Nova Esquerra de l'Eixample (Barcelona : Barrio) | Entença, Calle (Barcelona) | Nicaragua, Calle (Barcelona) | Rosselló, Calle (Barcelona) | Provença, Calle (Barcelona)","2018","","2017-01-01","2017-01-01","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111174","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Presó Model de Barcelona | Exposicions | Equipaments col·lectius | Presó Model de Barcelona | Exhibitions | Infrastructure (Economics) | Presó Model de Barcelona | Exposiciones | Equipamientos colectivos","Cultura i oci","discursos","","Inauguració de l’exposició “La Model ens parla. 113 anys i 13 històries”","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos | Direcció de Serveis de Comunicació Digital | Goroka (Firma)","Barcelona. Districte 1. Ciutat Vella | Bosch i Alsina, Moll (Barcelona) | Barcelona. District 1. Ciutat Vella | Bosch i Alsina, Moll (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Bosch i Alsina, Moll (Barcelona)","","","2019-01-05","2019-01-05","","","Discurs de l'Alcaldessa Ada Colau de benvinguda als Reis d'Orient al Moll de la Fusta. Inici amb una salutació als Reis d'Orient i seguidament fa menció de l'arribada del vaixell de Proactiva Open Arms al port, reivindicant la importància de la ONG en el salvament de refugiats.","","video/mp4","1 min. 17 s.","video/mp4","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115847","https://bcnroc.ajuntament.barcelona.cat/videos/11703_115847_f0860937-6af1-45ea-9fa7-5fea4e436d20.mp4","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Colau Ballano, Ada | Reis mags | Desfilades | Proactiva Open Arms | Refugiats | Colau Ballano, Ada | Magi | Parades | Proactiva Open Arms | Refugees | Colau Ballano, Ada | Reyes Magos | Cabalgatas | Proactiva Open Arms | Refugiados","Cultura i oci | Societat i benestar","videos | discursos","","Cavalcada de Reis","","movingImage","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2016","","2016-03-08","2016-03-08","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111175","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany | Dones | Feminisme | Premi 8 de març - Maria Aurèlia Capmany | Women | Feminism | Premi 8 de març - Maria Aurèlia Capmany | Mujeres | Feminismo","Cultura i oci","discursos","","Lliurament del Premi Maria Aurèlia Capmany","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos | Direcció de Serveis de Comunicació Digital | Goroka (Firma)","Barcelona | Barcelona | Barcelona","","","2019-01-19","2019-01-19","","Subtítols en català","Compareixença pública de l'Alcaldessa Ada Colau per informar de la inauguració del primer Centre de Recursos LGTBI de Europa. Discurs reivindicatiu sobre la importància de la diversitat sexual i de com Barcelona ha de ser un referent mundial de lluita contra l'homofòbia i de defensa dels drets i les llibertats . Fa referència als àtacs homòfobs que han passat a la ciutat i de com l'Ajuntament es personarà en aquesta causa per evitar que hi hagi impunitat.","","video/mp4","1 min. 43 s.","video/mp4","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115849","https://bcnroc.ajuntament.barcelona.cat/videos/11703_115849_f4c9e46c-a8d0-4369-bcb1-56ca12d3528a.mp4","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Colau Ballano, Ada | LGTBI | Homofòbia | Drets dels homosexuals | Colau Ballano, Ada | LGTBI | Homophobia | Gay rights | Colau Ballano, Ada | LGTBI | Homofobia | Derechos de los homosexuales","Sector públic","videos | discursos","","Centre de Recursos LGTBI","","movingImage","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2015","","2015-11-13","2015-11-13","","","","","application/pdf","3 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111172","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premis Nobel | Pau | Refugiats | Nobel Prizes | Peace | Refugees | Premios Nobel | Paz | Refugiados","Sector públic | Societat i benestar","discursos","Pla Barcelona Ciutat Refugi 2015-","Inauguració XV Cimera Premis Nobel","Cimera Mundial de Premis Nobel de la Pau (15a : 2015 : Barcelona)","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2016","","2016-12-15","2016-12-15","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111173","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels infants | Capdevila, Carles | Tonucci, Francesco | Política pública | Children's rights | Capdevila, Carles | Tonucci, Francesco | Government policy | Derechos de los niños | Capdevila, Carles | Tonucci, Francesco | Política gubernamental","Sector públic | Societat i benestar","discursos","","Cloenda de la Jornada “El dret dels infants a la ciutat”","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2016","","2016-02-15","2016-02-15","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111178","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premis Ciutat de Barcelona | Cultura | Ciència | Premis Ciutat de Barcelona | Culture | Science | Premis Ciutat de Barcelona | Cultura | Ciencia","Cultura i oci","discursos","","Premis Ciutat de Barcelona 2016","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2017","","2017-07-25","2017-07-25","","","","","application/pdf","3 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111164","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Jocs Olímpics | Jocs Paralímpics | Aniversaris | Maragall Mira, Pasqual | Olympics | Paralympic Games | Anniversaries | Maragall Mira, Pasqual | Juegos Olímpicos | Juegos paralímpicos | Aniversarios | Maragall Mira, Pasqual","Esports","discursos","","Acte institucional de celebració dels 25 anys dels JJOO i els JJPP de Barcelona’92","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2016","","2016-01-27","2016-01-27","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111171","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Holocaust Jueu (1939-1945) | Víctimes | Homenatges | Holocaust, Jewish (1939-1945) | Victims | Homage | Holocausto judío (1939-1945) | Víctimas | Homenajes","Societat i benestar","discursos","","Homenatge a les víctimes de l'Holocaust","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2016","","2016-07-04","2016-07-04","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111177","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premi Europeu a l'Espai Públic Urbà | Espais públics | Urbanisme | Premi Europeu a l'Espai Públic Urbà | Public spaces | City planning | Premi Europeu a l'Espai Públic Urbà | Espacios públicos | Urbanismo","Urbanisme i infraestructures","discursos","","Premi Europeu de l'Espai Públic Urbà","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2015","","2015-10-19","2015-10-19","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111180","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones pobres | Treball precari | Igualtat entre els sexes | Poor women | Precarious employment | Gender equality | Mujeres pobres | Trabajo precario | Igualdad de género","Societat i benestar","discursos","Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Taula contra la Feminització de la Pobresa","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2015","","2015-10-30","2015-10-30","","","","","application/pdf","4 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111170","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ferrer Guàrdia, Francesc | Aniversaris | Educació en valors | Ferrer Guàrdia, Francesc | Anniversaries | Values education | Ferrer Guàrdia, Francesc | Aniversarios | Educación en valores","Educació","discursos","","Ferrer i Guàrdia","Commemoració i Memòria del 106è aniversari de l'afusellament de Francesc Ferrer i Guàrdia","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2015","","2015-11-11","2015-11-11","","","","","application/pdf","3 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111166","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Premi Internacional Alfons Comín | Integració social | Igualtat | Premi Internacional Alfons Comín | Social integration | Equality | Premi Internacional Alfons Comín | Integración social | Igualdad","Societat i benestar","discursos","","32è Premi Internacional Alfonso Comín","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos | Direcció de Serveis de Comunicació Digital | Goroka (Firma)","Barcelona | Barcelona | Barcelona","","","2019-06-15","2019-06-15","","","Discurs de l'Alcaldessa Ada Colau en la sessió del Ple d'investidura celebrat el 15 de juny de 2019 al Saló de Cent. Inici amb l'agraïment als votants pel suport a les urnes i pel recolzament dels grups municipals Partit dels Socialistes de Catalunya i Barcelona pel canvi. En segon lloc, voluntat per reestablir ponts davant la divisió en blocs existent en l'àmbit polític defensant una postura neutral i demanant respecte i llibertat per defensar les idees. Compromís de gestionar amb transparència, més inversió social, lluita contra l'especulació i contra el canvi climàtic, i treball cooperatiu amb d'altres ciutats. Missatge reivindicatiu defensant la igualtat entre homes i dones, contra l'antimasclisme, contra el racisme i la lluita per la democràcia i la diversitat. Per últim, agraïment a la família pel recolzament rebut, visiblement emocionada.","","video/mp4","25 min. 37 s.","video/mp4","","","","Mandat 2019-","http://hdl.handle.net/11703/115846","https://bcnroc.ajuntament.barcelona.cat/videos/11703_115846_983afdbd-3e50-4b88-a926-99271dd82a3c.mp4","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Colau Ballano, Ada | Acte de govern | Discursos d'investidura | Colau Ballano, Ada | Act of state | Inaugural addresses | Colau Ballano, Ada | Acto de gobierno | Discursos de investidura","Sector públic","videos | discursos","","Discurs d'investidura d'Ada Colau (2019)","","movingImage","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","1976 | 1977 | 1978 | 1979 | 1980 | 1981 | 1982 | 1983 | 1984 | 1985 | 1986 | 1987 | 1988 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996 | 1997 | 1998 | 1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016","","2016-11-28","2016-11-28","","","","","application/pdf","3 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111169","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones | Memòria col·lectiva | Igualtat entre els sexes | Women | Collective memory | Gender equality | Mujeres | Memoria colectiva | Igualdad de género","Societat i benestar","discursos","","Presentació projecte “en moviment(s). Dones de Barcelona. 40 anys i més... (1976-2016)”","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2015","","2015-10-19","2015-10-19","","","","","application/pdf","2 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111167","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ruiz Villalba, Antonio | Franquisme | Moviment obrer | SEAT | Aniversaris | Ruiz Villalba, Antonio | Francoism | Labor movement | SEAT | Anniversaries | Ruiz Villalba, Antonio | Franquismo | Movimiento obrero | SEAT | Aniversarios","Societat i benestar","discursos","","Antonio Ruiz Villalba, treballador de la SEAT assassinat pel franquisme","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","2018","","2018-07-16","2018-07-16","","","","","application/pdf","4 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111179","","cat","Ajuntament de Barcelona","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament sostenible | Ciutats | Dret a l'habitatge | Sustainable development | Cities and towns | Right to housing | Desarrollo sostenible | Ciudades | Derecho a la vivienda","Sector públic | Habitatge","discursos","","Presentació de la declaració Cities for Adequate Housing","","text","info:eu-repo/semantics/other",""
