"dccontributorauthor","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","Unnamed: 44"
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","1992-04-14","1992-10-30","2000-12-14","1992-10-30","Aprovat per la Comissió d'Urbanisme de 14-04-1992","Modificat per la Comissió d'Urbanisme de 21-05-1997 [http://hdl.handle.net/11703/91544]. Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2000] [http://hdl.handle.net/11703/91545]","","Digitalitzat pel SEDAC","","application/pdf","5 p.","9076","","Butlletí Oficial de la Província de Barcelona, núm. 261 (30-10-1992), p. 30-34. Publicada l'aprovació definitiva al Diari Oficial de la Generalitat de Catalunya de 08-05-1992","","","http://hdl.handle.net/11703/91543","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91545","","","","","http://hdl.handle.net/11703/91544","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial de regulació dels establiments de concurrència pública i hoteleria del Districte de Ciutat Vella [1992]","","text",""
"Gerència d'Ecologia Urbana. Ajuntament de Barcelona","Barcelona","No","2016-04-01","2016-04-21","2016-03-31","2016-04-01","Aprovat pel Plenari del Consell Municipal de 01-04-2016","Derogat pel Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic , albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017] [http://hdl.handle.net/11703/101005]. Deroga totes les disposicions de l'activitat d'Habitatge Turístic (epígraf T.1)  del Pla especial d'establiments de concurrencia pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] [http://hdl.handle.net/11703/86875]","Substitueix el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] , en tot el que fa referència a l'actualitat d'habitatge d'ús turístic (epígraf T.1) [http://hdl.handle.net/11703/86875]","","","","11 p.","","Núm. Exp. 14PL16205","Butlletí Oficial de la Província de Barcelona (21-04-2016)","","","http://hdl.handle.net/11703/97107","cat","","","","","","","","http://hdl.handle.net/11703/101005","","","","http://hdl.handle.net/11703/86875","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Allotjament turístic. Turisme i urbanisme","Habitatge. Turisme","plans especials","Pla especial urbanístic per a la regulació dels habitatges d'ús turístic a la ciutat de Barcelona [2016]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","No","2001-06-01","2001-06-16","2002-04-26","2001-06-20","Aprovat pel Plenari del Consell Municipal de 01-06-2001","Substituït pel Pla especial dels establiments de concurrència pública del Districte de Gràcia [2002] [http://hdl.handle.net/11703/97419]","Substitueix el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Gràcia [1994]  [http://hdl.handle.net/11703/101818]","","","application/pdf","6 p.","","","Butlletí Oficial de la Província de Barcelona, núm. 146 (04-06-1994), p. 18-23. Correcció d'errades: Butlletí Oficial de la Província de Barcelona 165, núm. 146 (11-07-2001)","","","http://hdl.handle.net/11703/103400","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97419","","","","http://hdl.handle.net/11703/101818","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials","Pla especial d'usos del districte de Gràcia [2001]","Pla especial d'establiments de concurrència pública al Districte de Gràcia [2001]","text",""
"Corporació Metropolitana de Barcelona","Barcelona","No","1986-04-24","1986-05-31","1999-05-21","1986-05-31","Aprovat pel Consell Metropolità de 24-04-1986","Substituït pel Pla especial de l'equipament comercial alimentari de Barcelona (PECAB)  [1999] [http://hdl.handle.net/11703/91553]","","","","application/pdf","7 p.","9923","","Butlletí Oficial de la Província de Barcelona, núm. 130 (31-05-1986)","","","http://hdl.handle.net/11703/91552","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91553","","","","","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments comercials. Alimentació. Restaurants","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial de l'equipament comercial alimentari de Barcelona (PECAB) [1986]","PECAB","text",""
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","1997-04-25","1997-07-16","","","Aprovada per la Comissió d'Urbanisme de 21-05-1997","","Modifica el Pla especial de regulació dels establiments de concurrència pública i hoteleria del Districte de Ciutat Vella [1992] [http://hdl.handle.net/11703/91543]","Digitalitzat pel SEDAC","","application/pdf","1 p.","9078","","Diari Oficial de la Generalitat de Catalunya, núm. 2434 (16-07-1997), p. 8149","","","http://hdl.handle.net/11703/91544","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91543","","","","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial de regulació dels establiments de concurrència pública i hoteleria del Districte de Ciutat Vella [1992] : modificació [1997-04-25]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella. Rambla, La (Barcelona)","Si","2015-12-28","2016-01-18","","2015-12-28","Aprovat per Decret de l'Alcaldia de 28-12-2015. Aquest manual operatiu, substitueix pel que fa a la zona ZE-5B, al ja aprovat a l'octubre de 2013, per al conjunt del Pla d'usos del Districte de Ciutat Vella","","","","","application/pdf","4 p.","","Núm. Reg. 022016000289","Butlletí Oficial de la Província de Barcelona (18-01-2016)","","","http://hdl.handle.net/11703/97272","cat","","","","","","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Establiments de concurrència pública. Restaurants. Hotels","Urbanisme i infraestructures","plans especials","Manual operatiu del Pla Especial d'Establiments de Concurrència Pública, Hoteleria i altres activitats a Ciutat Vella relatiu a la Zona Rambla, ZE-5B [2015]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 4. Les Corts","Si","2015-01-30","2015-02-26","","2015-02-26","Aprovat pel Plenari del Consell Municipal de 30-01-2015","","Substitueix el Pla especial dels establiments de concurrència pública del Districte de Les Corts [1993] [http://hdl.handle.net/11703/91550]","","","application/pdf","9 p.","18018","Exp. núm. 14PL16239","Butlletí Oficial de la Província de Barcelona (26-02-2015)","","","http://hdl.handle.net/11703/86877","cat","","","","","","","","","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/91550","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública del Districte de Les Corts [2015]","Pla especial d'establiments de concurrència pública del Districte de Les Corts i regulació d'altres activitats [2015]","text",""
"Ajuntament de Barcelona","Barcelona. Districte 3. Sants-Montjuïc","Si","2000-07-21","2000-08-14","","2000-08-15","Aprovades pel Plenari del Consell Municipal de 21-07-2000","","","","","application/pdf","7 p.","6162","","Butlletí Oficial de la Província de Barcelona, núm. 194 (14-08-2000), p. 57-63","","","http://hdl.handle.net/11703/89291","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sants-Montjuïc) : normes urbanístiques [2000]","","text",""
"Gerència d'Ecologia Urbana","Orfila, Plaça (Barcelona). Meridiana, Avinguda (Barcelona). Ignasi Iglésias, Carrer (Barcelona). Gran de Sant Andreu, Carrer (Barcelona). Grau, Carrer (Barcelona). Barcelona. Districte 9. Sant Andreu","Si","2017-05-26","2017-06-26","","2017-06-27","Aprovat pel Plenari del Consell Municipal de 26-05-2017","","","","","application/pdf","10 p.","","Núm. Exp. 15PL16367.","Butlletí Oficial de la Província de Barcelona (26-06-2017)","","","http://hdl.handle.net/11703/102821","cat","","","","","","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Edificis històrics. Urbanisme","Urbanisme i infraestructures","plans especials","Pla Especial de Protecció del subàmbit Poble Antic i del nucli antic de Sant Andreu [2017]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 7. Horta-Guinardó","Si","2000-07-21","2000-08-14","","2000-08-15","Aprovades pel Plenari del Consell Municipal de 21-07-2000","","","","","application/pdf","7 p.","6166","","Butlletí Oficial de la Província de Barcelona, núm. 194 (14-08-2000), p. 70-76","","","http://hdl.handle.net/11703/89287","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte d'Horta-Guinardó) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Port Olímpic (Barcelona). Barcelona. Districte 10. Sant Martí","Si","2006-07-21","2006-09-08","","2006-09-08","Aprovades pel Plenari del Consell Municipal de 21-07-2006","","","","","application/pdf","5 p.","6170","","Butlletí Oficial de la Província de Barcelona, núm.  215 (08-09-2006), p. 29-33","","","http://hdl.handle.net/11703/86885","cat","","","","","","","","","","","14957","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Urbanisme. Restaurants. Hotels. Bars. Establiments de concurrència pública. Terrasses (Hoteleria). Hoteleria","Legislació i justícia. Comerç","plans especials","Pla especial d'usos del Port olímpic de Barcelona [2006]","","text",""
"Direcció de Serveis de Llicències. Gerència d'Ecologia Urbana. Gerència Adjunta d'Urbanisme. dc.contributor.author[ca]. dc.contributor.author","Barcelona","Si","2017","2017","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/105657. El Manual operatiu es basa en el Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic, albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017] [http://hdl.handle.net/11703/101005]. Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/105110","","","","","application/pdf","40 p.","","","","","","http://hdl.handle.net/11703/106063","cas","","http://hdl.handle.net/11703/105657","","http://hdl.handle.net/11703/101005","","","","","","http://hdl.handle.net/11703/105110","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Albergs de joventut. Col·legis majors universitaris","Turisme","plans especials","Manual operativo del plan especial urbanístico para la ordenación de los establecimientos de alojamiento turístico, albergues de juventud, residencias colectivas de alojamiento temporal y viviendas de uso turístico en la ciudad de Barcelona (PEUAT) [2017]","","text",""
"Ajuntament de Barcelona","Poblenou (Barcelona : Barri). Barcelona. Districte 10. Sant Martí","Si","2006-11-24","2006-12-21","","2006-12-23","Aprovades pel Plenari del Consell Municipal de 24-11-2006","","","","","application/pdf","7 p.","6354","","Butlletí Oficial de la Província de Barcelona, núm. 304 (21-12-2006), p. 27-33","","","http://hdl.handle.net/11703/86883","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sant Martí). Patrimoni industrial del Poblenou : normes urbanístiques [2006]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","Si","2000-05-26","2000-06-14","","2000-06-15","Aprovades pel Plenari del Consell Municipal de 26-05-2000","","","","","application/pdf","7 p.","6165","","Butlletí Oficial de la Província de Barcelona, núm.  142 (14-06-2000),  p. 36-42","","","http://hdl.handle.net/11703/89293","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Gràcia) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 7. Horta-Guinardó. Horta (Barcelona : Barri)","Si","2015-05-05","2015-06-10","","2015-06-10","Aprovada pel Plenari del Consell Municipal de 05-05-2015","","Substitueix el Pla Especial d'establiments de Concurrència Pública, hoteleria i altres activitats del Nucli Antic d'Horta [2005] [http://hdl.handle.net/11703/97424]","","","application/pdf","16 p.","19026","","Butlletí Oficial de la Província de Barcelona (10-06-2015)","","","http://hdl.handle.net/11703/86878","cat","","","","","","","","","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/97424","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Hoteleria. Establiments de concurrència pública. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública i altres activitats a l'àmbit del casc antic d'Horta, del districte d'Horta-Guinardó [2015]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 5. Sarrià-Sant Gervasi","Si","2006-12-22","2007-01-26","","2007-01-27","Aprovat pel Plenari del Consell Municipal de 22-12-2006","","Substitueix el Pla especial d'ordenació dels establiments de concurrència pública del districte de Sarrià-Sant Gervasi [1993] [http://hdl.handle.net/11703/91551]","","","application/pdf","14 p.","6174","","Butlletí Oficial de la Província de Barcelona, núm. 23 (26-01-2007), p. 25-38","","","http://hdl.handle.net/11703/89281","cat","","","","","","","","","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/91551","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Establiments de concurrència pública. Hoteleria","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Sarrià-Sant Gervasi [2006]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 2. Eixample. Sagrada Família (Barcelona : Barri)","Si","2012-11-26","2012-10-26","","2012-11-26","Aprovat pel Plenari del Consell Municipal de 26-10-2012","","Modifica la Pla especial d'ordenació dels establiments comercials destinats a la venda d'articles de record o souvenirs a la ciutat de Barcelona [2008] [http://hdl.handle.net/11703/89283]","","Inclou: Modificació puntual del Pla especial d'ordenació dels establiments comercials destinats a la venda d'articles de record o souvenirs a la ciutat de Barcelona [2008]","application/pdf","2 p.","18858","Exp. núm. 11PL 15893","Butlletí Oficial de la Província de Barcelona (26-11-2012)","","","http://hdl.handle.net/11703/91557","cat","","","","","","","http://hdl.handle.net/11703/101787","","http://hdl.handle.net/11703/89283","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Records (Objectes)","Legislació i justícia. Comerç","plans especials","Pla especial d'ordenació dels establiments comercials destinats a la venda d'articles de record o souvenirs a la ciutat de Barcelona [2008] : modificació [2012]","Pla especial d'ordenació dels establiments comercials destinats a venda d'articles de record o souvenirs a l'àrea de la Sagrada Família [2012]","text",""
"Direcció de Serveis de Llicències. Gerència d'Ecologia Urbana. Gerència Adjunta d'Urbanisme","Barcelona","Si","2017-07-20","2017-07-28","","2017-07-20","Aprovat per la Comissió de Govern de 20-07-2017. El Manual operatiu es basa en el Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic , albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017] [http://hdl.handle.net/11703/101005]. Podeu consultar-ne una altra versió en català a: http://hdl.handle.net/11703/105657 i en castellà a:  http://hdl.handle.net/11703/106063","","","","","application/pdf","44 p.","","Núm. Exp. 15PL16354","Butlletí Oficial de la Província de Barcelona (28-07-2017)","","","http://hdl.handle.net/11703/105110","cat","Ajuntament de Barcelona","","http://hdl.handle.net/11703/105657. http://hdl.handle.net/11703/106063","http://hdl.handle.net/11703/101005","","","","","","","","","","Domini públic","openAccess","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Albergs de joventut. Col·legis majors universitaris","Habitatge. Legislació i justícia. Turisme","plans especials. acords","Manual operatiu del Pla Especial Urbanístic per a l'ordenació dels establiments d'allotjament turístic, albergs  de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona (PEUAT) [2017] [versió Butlletí Oficial de la Província de Barcelona]","","text",""
"Gerència d'Ecologia Urbana. Ajuntament de Barcelona","Barcelona. Districte 3. Sants-Montjuïc. Poble Sec (Barcelona : Barri)","Si","2016-05-27","2016-07-05","","2016-07-05","Aprovat pel Plenari del Consell Municipal de 27-05-2016","","","","","application/pdf","23 p.","","Exp. Núm.14PL16242","Butlletí Oficial de la Província de Barcelona (05-07-2016)","","","http://hdl.handle.net/11703/97584","cat","","","","","","","","","","","http://hdl.handle.net/11703/88842. http://hdl.handle.net/11703/89250. http://hdl.handle.net/11703/86879. Pla General Metropolità de 1976 i les seves modificacions","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de pública concurrència i altres activitats al Barri del Poble Sec al Districte de Sants-Montjuïc [2016]","","text",""
"Ajuntament de Barcelona","Poblenou (Barcelona : Barri). Barcelona. Districte 10. Sant Martí","Si","2010-10-01","2010-11-03","","2010-11-04","Aprovades pel Plenari del Consell Municipal de 01-10-2010","","","","","application/pdf","12 p.","6371","","Butlletí Oficial de la Província de Barcelona (03-11-2010)","","","http://hdl.handle.net/11703/86882","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sant Martí). Casc antic del Poblenou : normes urbanístiques [2010]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Dreta de l'Eixample (Barcelona : Barri). Fort Pienc (Barcelona : Barri). Sant Pere, Santa Caterina i la Ribera (Barcelona : Barri)","Si","2008-07-25","2008-09-26","","2008-10-10","Aprovat pel Plenari del Consell Municipal de 25-07-2008","","","","","application/pdf","6 p.","6184","","Butlletí Oficial de la Província de Barcelona, núm. 232 (26-09-2008), p. 32-37","","","http://hdl.handle.net/11703/89284","cat","","","","","","","","","","","14957","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Comerç a l'engròs","Legislació i justícia. Comerç","plans especials","Pla especial d'ordenació dels establiments comercials majoristes en determinats sectors dels barris de la Dreta de l'Eixample i Fort Pienc, del Districte de l'Eixample i del barri de Sant Pere, del Districte de Ciutat Vella [2008]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 10. Sant Martí","Si","2016-07-22","2016-09-13","","2016-09-12","Aprovat pel Plenari del Consell Municipal de 22-07-2016","","","","","application/pdf","14 p.","","Exp. Núm. 14PL16240","Butlletí Oficial de la Província de Barcelona (12-09-2016)","","","http://hdl.handle.net/11703/98144","cat","","","","","","","","","","","","http://hdl.handle.net/11703/89282","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública i dels comerços alimentaris amb degustació al districte de Sant Martí [2016]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 2. Eixample","Si","2000-05-26","2000-06-14","","2000-06-15","Aprovades pel Plenari del Consell Municipal de 26-05-2000","","","","","application/pdf","7 p.","6161","","Butlletí Oficial de la Província de Barcelona, núm.  142 (14-06-2000), p. 23-29","","","http://hdl.handle.net/11703/89295","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de l'Eixample) : normes urbanístiques [2000]","","text",""
"Gerència d'Ecologia Urbana. Ajuntament de Barcelona","Barcelona","","2016-05-27","2016-06-10","","26/05/2016","Aprovat pel Plenari del Consell Municipal de 27-05-2016","","","","","application/pdf","4 p.","","Exp. núm. 14PL16212","","","","http://hdl.handle.net/11703/97427","cat","","","","","","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Clubs socials de cànnabis. Establiments de concurrència pública","Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial urbanístic per a l'ordenació territorial dels clubs i associacions de consumidors de cànnabis a la ciutat de Barcelona","","text",""
