"dccontributorauthor","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","Unnamed: 44"
"Gerència d'Ecologia Urbana. Direcció de Serveis Tècnic-Jurídics","Barcelona","Si","2018-02-23","2018-03-26","","2018-03-26","Aprovat pel Plenari del Consell Municipal de 23-02-2018. El Butlletí Oficial de la Província de Barcelona va publicar el 22-03-2018 una versió incompleta del Pla, en la que faltaven uns articles i els annexos. Fa referència al Pla especial d'equipament comercial alimentari de Barcelona (PECAB) [2015] [http://hdl.handle.net/11703/86879]. Fa referència al Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic, albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017] [http://hdl.handle.net/11703/101005]. Fa referència a l'Ordenança de circulació de vianants i de vehicles [1998] [http://hdl.handle.net/11703/89263]","","Deroga el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] [http://hdl.handle.net/11703/86875]","","","application/pdf","24 p.","","Núm. Exp. 16PL16426","Butlletí Oficial de la Província de Barcelona (26-03-2018)","","","http://hdl.handle.net/11703/108624","cat","","","","","","","","","","","http://hdl.handle.net/11703/86879. http://hdl.handle.net/11703/101005. http://hdl.handle.net/11703/89263","http://hdl.handle.net/11703/86875","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Allotjament turístic. Establiments de concurrència pública. Establiments comercials","Comerç. Legislació i justícia. Turisme","plans especials","Pla especial d'establiments de concurrència pública, comerços alimentaris, serveis turístics i altres activitats del Districte de Ciutat Vella [2018]","Pla especial urbanístic d'ordenació de les activitats de pública concurrència, comerços alimentaris, serveis turístics i altres activitats al Districte de Ciutat Vella (Pla d'usos de Ciutat Vella)","text",""
"Gerència d'Ecologia Urbana. Direcció de Serveis Tècnic-Jurídics","Barcelona. Districte 1. Ciutat Vella. Raval (Barcelona : Barri). Rambla, La (Barcelona). Josep Carner, Passeig (Barcelona). Paral·lel, Avinguda (Barcelona). Sant Pau, Ronda (Barcelona). Sant Antoni, Ronda (Barcelona). Universitat, Plaça (Barcelona). Pelai, Carrer (Barcelona)","Si","2018-02-23","2018-03-16","","2018-03-17","Aprovada pel Plenari del Consell Municipal de 23-02-2018","","Modifica el Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Ciutat Vella) : normes urbanístiques [2000] [http://hdl.handle.net/11703/89288]","","Annex a les normes: Fitxes de protecció de patrimoni (fàbriques i cases fàbrica)","application/pdf","89 p.","","Núm. Exp. 16PL16408","Butlletí Oficial de la Província de Barcelona (16-03-2018)","","","http://hdl.handle.net/11703/108557","cat","","","","","","","","","http://hdl.handle.net/11703/89288","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme. Rehabilitació urbana. Arqueologia industrial. Fàbriques","Cultura i oci. Legislació i justícia. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Ciutat Vella) : normes urbanístiques [2000] : modificació [2017-02-23]","Pla especial de protecció del patrimoni arquitectònic, històric, artístic al Districte de Ciutat Vella per a incorporar el patrimoni industrial del Raval","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","Si","2015-03-23","2015-02-27","","2015-03-23","Aprovat pel Plenari del Consell Municipal de 27-02-2015","","","","","application/pdf","4 p.","18346","","Butlletí Oficial de la Província de Barcelona (23-03-2015)","","","http://hdl.handle.net/11703/91561","cat","","","","","","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Establiments de concurrència pública. Activitats culturals. Bars","Legislació i justícia. Comerç","plans especials","Pla especial integral d'usos de l'edifici del Portal de la Pau : normes urbanístiques [2015]","","text",""
"Ajuntament de Barcelona","Barcelona","Si","2008-06-27","2008-08-06","","2008-08-06","Aprovat pel Plenari del Consell Municipal de 27-06-2008","","","","","application/pdf","3 p.","6183","","Butlletí Oficial de la Província de Barcelona, núm. 188 (06-08-2008), p. 47-49","","","http://hdl.handle.net/11703/89283","cat","","","","","","","","","","","","","http://hdl.handle.net/11703/91557","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Records (Objectes)","Legislació i justícia. Comerç","plans especials","Pla especial d'ordenació dels establiments comercials destinats a la venda d'articles de record o souvenirs a la ciutat de Barcelona [2008]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","Si","2016-05-27","2016-06-27","","2016-06-27","Aprovat pel Plenari del Consell Municipal de 27-05-2016","","Substitueix el Pla especial d'establiments de concurrència pública del Districte de Gràcia [2005] [http://hdl.handle.net/11703/97965]","","Conté: Correcció d'errades","application/pdf","39 p.","","Exp. Núm. 14PL16208","Butlletí Oficial de la Província de Barcelona (27-06-2016). Correcció d'errades: Butlletí Oficial de la Província de Barcelona (26-07-2016). Correcció d'errades: Butlletí Oficial de la Província de Barcelona (28-11-2016)","","","http://hdl.handle.net/11703/97509","cat","","","","","","","","","","","","http://hdl.handle.net/11703/97965","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2016]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 4. Les Corts","Si","2000-07-21","2000-08-14","","2000-08-15","Aprovades pel Plenari del Consell Municipal de 21-07-2000","","","","","application/pdf","7 p.","6163","","Butlletí Oficial de la Província de Barcelona, núm. 194 (14-08-2000), p. 64-70","","","http://hdl.handle.net/11703/89289","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Les Corts) : normes urbanístiques  [2000]","","text",""
"Ajuntament de Barcelona","Rambla, La (Barcelona). Barcelona. Districte 1. Ciutat Vella","Si","2016-05-27","2016-06-27","","2016-06-27","Aprovat pel Plenari del Consell Municipal de 27-05-2016. Podeu consultar la nota de premsa L’Ajuntament de Barcelona convoca un concurs internacional per a la transformació de la Rambla [http://hdl.handle.net/11703/101747]","","","","","application/pdf","13 p.","","Exp. núm. 14PL16275","Butlletí Oficial de la Província de Barcelona (27-06-2016)","","","http://hdl.handle.net/11703/97511","cat","","","","","http://hdl.handle.net/11703/101747","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Urbanisme. Mobilitat urbana. Venedors de periòdics. Enllumenat públic. Terrasses (Hoteleria). Semàfors. Venda ambulant. Quadres vius. Línies elèctriques subterrànies. Turisme i urbanisme","Legislació i justícia. Comerç. Urbanisme i infraestructures","plans especials","Pla especial d'ordenació de la Rambla de Barcelona. Districte de Ciutat Vella [2016]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","Si","2000-10-27","2000-11-18","","2000-11-18","Aprovat pel Plenari del Consell Municipal de 27-10-2000. Fa referència a l'Ordenanza sobre protección del patrimonio arquitectónico, histórico-artístico de la ciudad de Barcelona [1979] [http://hdl.handle.net/11703/84038]","Modificat pel Plenari del Consell Municipal de 23-02-2018 [http://hdl.handle.net/11703/108557]","","","","application/pdf","7 p.","6160","","Butlletí Oficial de la Província de Barcelona, núm. 277 Annex I (18-11-2000), p. 7-13","","","http://hdl.handle.net/11703/89288","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","http://hdl.handle.net/11703/108557","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Ciutat Vella) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","Si","2013-10-07","2013-10-29","","2013-10-07","Aprovat per Decret de l'Alcaldia de 07-10-2013","","Substitueix el Manual operatiu del Pla especial d’establiments de concurrència pública, hoteleria i altres activitats a Ciutat Vella [2011] [http://hdl.handle.net/11703/91549]","","","application/pdf","8 p.","","Núm. Reg. 022013025896","","","","http://hdl.handle.net/11703/97408","cat","","","","","","","","","","","","http://hdl.handle.net/11703/91549","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials","Manual operatiu del Pla especial d'establiments de concurrència pública, hoteleria i altres activitats a Ciutat Vella [2013]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","Si","2013","2013-07-24","","2013-10-05","Aprovat pel Plenari del Consell Municipal de 24-07-2013","","","Digitalitzat pel SEDAC","","application/pdf","298 p.","11638","","","","","http://hdl.handle.net/11703/91558","cat","","","","http://hdl.handle.net/11703/86875","","Reproducció digital del document en suport original","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial d'establiments de concurrencia pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] [versió presentació]","","text",""
"Ajuntament de Barcelona","Poblenou (Barcelona : Barri). Barcelona. Districte 10. Sant Martí","Si","2006-11-13","2006","","2006-12-23","A la portada: Aprovació definitiva, Barcelona, novembre de 2006.","","","","","application/pdf","53 p.. 10 p.","3201. 3202","","","","","http://hdl.handle.net/11703/86881","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sant Martí). Patrimoni industrial del Poblenou [2006]","Modificació del Pla Especial de Protecció del Patrimoni Arquitectònic Historicartístic de la Ciutat de Barcelona","text",""
"Ajuntament de Barcelona","Barcelona. Districte 9. Sant Andreu","Si","2000-06-23","2000-07-26","","2000-07-27","Aprovades pel Plenari del Consell Municipal de 23-06-2000","","","","","application/pdf","7 p.","6168","","Butlletí Oficial de la Província de Barcelona, núm. 178 (26-07-2000), p. 38-44","","","http://hdl.handle.net/11703/89290","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sant Andreu) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona","Si","2017-01-27","2017-03-06","","2017-01-27","Aprovat  pel Plenari del Consell Municipal de 27-01-2017. L'aprovació definitiva del PEUAT es basa en un informe sobre l'Habilitació legal del Pla especial urbanístic com a instrument adient per l'ordenació de l'activitat [http://hdl.handle.net/11703/103415]. L'elaboració del PEUAT es basa en un informe sobre la incidència de l'activitat turística en l'accessibilitat de l'habitatge a Barcelona [http://hdl.handle.net/11703/105037]. L'aprovació del PEUAT es basa en un informe sobre la incidència de la llei de garantia de la unitat de mercat [http://hdl.handle.net/11703/105054]. És base pel Manual operatiu del Pla Especial Urbanístic per a l'ordenació dels establiments d'allotjament turístic, albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona (PEUAT). Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/105110 i podeu consultar-ne una altra versió en català a: http://hdl.handle.net/11703/105657 i en castellà a: http://hdl.handle.net/11703/106063. Referenciat pel Decret d'alcaldia de Delegació d'atribucions en la Gerència Adjunta d'Urbanisme [2018] [http://hdl.handle.net/11703/108415]. Referenciat pel Balanç del Pla d'Inspecció de Ciutat Vella 2016-2018 : informe [http://hdl.handle.net/11703/108553]. Referenciat pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] : modificació [2018-02-23] [http://hdl.handle.net/11703/108624]","","Deroga el Pla especial urbanístic per a la regulació dels Habitatges d'Ús Turístic a la ciutat de Barcelona [2016] [http://hdl.handle.net/11703/97107]. Queden sense aplicació les determinacions establertes en els diferens Plans especials i Plans d'usos d'Establiments de concurrència Pública anteriors  en allò que regula en aquest pla:. Pla especial d'establiments de concurrència pública i altres activitats del Districte de Sarrià-Sant Gervasi  [2006] [http://hdl.handle.net/11703/89281]. Pla especial d'establiments de concurrencia pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] [http://hdl.handle.net/11703/86875]. Pla especial d'establiments de concurrència pública, hoteleria i altres activitats de la zona específica ZE-5B ""Zona Rambla"" de Barcelona  [2014] [http://hdl.handle.net/11703/86880]. Pla especial d'establiments de concurrència pública del Districte de Les Corts [2015] [http://hdl.handle.net/11703/86877]. Pla especial d'establiments de concurrència pública i altres activitats a l'àmbit del casc antic d'Horta, del districte d'Horta-Guinardó [2015] [http://hdl.handle.net/1170/86878]. Pla especial d'establiments de pública concurrència i altres activitats al Barri del Poble Sec  al Districte de Sants-Montjuïc  [2016] [http://hdl.handle.net/11703/97584]. Pla especial d'establiments de concurrència pública i dels comerços alimentaris amb degustació al districte de Sant Martí  [2016] [http://hdl.handle.net/11703/98144]. Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2016]  [http://hdl.handle.net/11703/97509]","","","application/pdf","17 p.","","Exp. núm. 15PL16354.","Butlletí Oficial de la Província de Barcelona (06-03-2017)","","","http://hdl.handle.net/11703/101005","cat","","","","http://hdl.handle.net/11703/103415. http://hdl.handle.net/11703/105037. http://hdl.handle.net/11703/105054","http://hdl.handle.net/11703/105110. http://hdl.handle.net/11703/105657. http://hdl.handle.net/11703/106063","","http://hdl.handle.net/11703/108415. http://hdl.handle.net/11703/108553. http://hdl.handle.net/11703/108624","","http://hdl.handle.net/11703/89281. http://hdl.handle.net/11703/86875. http://hdl.handle.net/11703/86880. http://hdl.handle.net/11703/86877. http://hdl.handle.net/1170/86878. http://hdl.handle.net/11703/97584. http://hdl.handle.net/11703/98144. http://hdl.handle.net/11703/97509","","","http://hdl.handle.net/11703/97107","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Albergs de joventut. Col·legis majors universitaris","Legislació i justícia. Habitatge. Turisme","plans especials","Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic , albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017]","Pla Especial Urbanístic d’Allotjaments Turístics (PEUAT)","text",""
"Direcció de Serveis de Llicències. Gerència d'Ecologia Urbana. Gerència Adjunta d'Urbanisme","Barcelona","Si","2017","2017","","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106063. El Manual operatiu es basa en el Pla especial urbanístic per a la regulació dels establiments d'allotjament turístic , albergs de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona [2017] [http://hdl.handle.net/11703/101005]. Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/105110","","","","","application/pdf","54 p.","","","","","","http://hdl.handle.net/11703/105657","cat","","http://hdl.handle.net/11703/106063","","http://hdl.handle.net/11703/101005","","","","","","http://hdl.handle.net/11703/105110","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Albergs de joventut. Col·legis majors universitaris","Turisme","plans especials","Manual operatiu del Pla Especial Urbanístic per a l'ordenació dels establiments d'allotjament turístic, albergs  de joventut, residències col·lectives d'allotjament temporal i habitatges d'ús turístic a la ciutat de Barcelona (PEUAT) [2017]","","text",""
"Ajuntament de Barcelona","Barcelona","Si","2007-02-23","2007-04-13","","2007-04-13","Aprovat pel Plenari del Consell Municipal de 23-02-2007","","","","","application/pdf","26 p.","10748","","Butlletí Oficial de la Província de Barcelona, núm. 89 (13-04-2007), p. 16-41","","","http://hdl.handle.net/11703/89285","cat","","","","","","","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial del comerç no alimentari de Barcelona (PECNAB) [2007]","PECNAB","text",""
"Àrea d'Economia, Empresa i Ocupació. Ajuntament de Barcelona","Barcelona","","2016-02-26","2016-03-10","","2016-02-26","Aprovat pel Plenari del Consell Municipal de 26-02-2016","","","","","application/pdf","8 p.","","Núm. Exp. 14PL16180.","Butlletí Oficial de la Província de Barcelona (10-03-2016)","","","http://hdl.handle.net/11703/91773","cat","","","","http://hdl.handle.net/11703/88395","","","","","","","","","http://hdl.handle.net/11703/89240","Domini públic","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Patrimoni cultural. Establiments comercials","Comerç","plans especials","Pla especial de protecció de la qualitat urbana: catàleg de protecció arquitectònic, històric i paisatgístic dels establiments emblemàtics de la ciutat","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 5. Sarrià-Sant Gervasi","Si","2000-06-23","2000-07-26","","2000-07-27","Aprovades pel Plenari del Consell Municipal de 23-06-2000","","","","","application/pdf","7 p.","6164","","Butlletí Oficial de la Província de Barcelona, núm. 178 (26-07-2000), p. 31-37","","","http://hdl.handle.net/11703/89292","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Sarrià-Sant Gervasi) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 10. Sant Martí","Si","2000-05-26","2000-06-14","","2000-06-15","Aprovades pel Plenari del Consell Municipal de 26-05-2000","","","","","application/pdf","7 p.","6169","","Butlletí Oficial de la Província de Barcelona, núm. 142 (14-06-2000), p. 30-36","","","http://hdl.handle.net/11703/89286","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte Sant Martí) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona","Si","2015-03-27","2015-05-08","","2015-05-08","Aprovat pel Plenari del Consell Municipal de 27-03-2015. Referenciat pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] : modificació [2018-02-23] [http://hdl.handle.net/11703/108624]","","Deroga el Pla especial d'equipament comercial alimentari de Barcelona [2011] [http://hdl.handle.net/11703/91554]","","","application/pdf","12 p.","18687","","Butlletí Oficial de la Província de Barcelona (08-05-2015)","","","http://hdl.handle.net/11703/86879","cat","","","","","","","http://hdl.handle.net/11703/108624","","","","","http://hdl.handle.net/11703/91554","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments comercials. Alimentació. Restaurants","Legislació i justícia. Comerç","plans especials","Pla especial d'equipament comercial alimentari de Barcelona (PECAB) [2015]","PECAB","text",""
"Ajuntament de Barcelona","Barcelona. Districte 8. Nou Barris","Si","2000-05-26","2000-06-13","","2000-06-14","Aprovades pel Plenari del Consell Municipal de 26-05-2000","","","","","application/pdf","8 p.","6167","","Butlletí Oficial de la Província de Barcelona, núm.  141 (13-06-2000), p. 15-22","","","http://hdl.handle.net/11703/89294","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni arquitectònic històric artístic de la ciutat de Barcelona (Districte de Nou Barris) : normes urbanístiques [2000]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 9. Sant Andreu","Si","2015-03-27","2015-04-27","","2015-04-28","Aprovades pel Plenari del Consell Municipal de 27-03-2015","","","","","application/pdf","6 p.","18714","","Butlletí Oficial de la Província de Barcelona (27-04-2015)","","","http://hdl.handle.net/11703/86884","cat","","","","","","","","","","","http://hdl.handle.net/11703/84038","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Patrimoni cultural. Urbanisme","Legislació i justícia. Cultura i oci. Urbanisme i infraestructures","plans especials","Pla especial de protecció del patrimoni del carrer Gran al nucli antic de Sant Andreu : normes urbanístiques [2015]","","text",""
"Ajuntament de Barcelona","Barcelona","Si","2014-12-19","2015-01-22","","2015-01-22","Aprovat pel Plenari del Consell Municipal de 19-12-2014","","","","","application/pdf","21 p.","17590","","Butlletí Oficial de la Província de Barcelona (22-01-2015)","","","http://hdl.handle.net/11703/86880","cat","","","","","","","","","","","http://hdl.handle.net/11703/89250","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats de la zona específica ZE-5B ""Zona Rambla"" de Barcelona [2014]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","Si","2013","2013-07-10","","","","","Complementa el Pla d'usos relacionat amb el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013] [http://hdl.handle.net/11703/86875]","","","application/pdf","3 p.","18105","","","","","http://hdl.handle.net/11703/91559","cat","","","","http://hdl.handle.net/11703/86875","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Quadre resum d'aplicació del Pla d'usos de Ciutat Vella","Quadre resum d'aplicació del Pla d'Usos","text",""
