"DENOMINACIO CAMPANYA","CONCEPTE","MITJÀ","IMPORT"
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","INTERNET",44384.91
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","EMISSORES DE RÀDIO",7901.16
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","EXTERIOR",10495.12
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","TELEVISIÓ",0.0
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","PROXIMITAT REVISTES",2134.44
"LLUM BARCELONA 2020","MITJANS","PREMSA DIÀRIA",13616.75
"LLUM BARCELONA 2020","MITJANS","REVISTES",6207.08
"LLUM BARCELONA 2020","MITJANS","INTERNET",12425.49
"LLUM BARCELONA 2020","MITJANS","EMISSORES DE RÀDIO",11387.41
"LLUM BARCELONA 2020","MITJANS","EXTERIOR",15890.41
"LLUM BARCELONA 2020","MITJANS","TELEVISIÓ",0.0
"LLUM BARCELONA 2020","MITJANS","PROXIMITAT REVISTES",422.68
"MARKETPLACES 2020","MITJANS","PREMSA DIÀRIA",12100.0
"MARKETPLACES 2020","MITJANS","REVISTES",0.0
"MARKETPLACES 2020","MITJANS","INTERNET",24505.26
"MARKETPLACES 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MARKETPLACES 2020","MITJANS","EXTERIOR",0.0
"MARKETPLACES 2020","MITJANS","TELEVISIÓ",0.0
"MARKETPLACES 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MERCABARNA 2020","MITJANS","PREMSA DIÀRIA",56343.13
"MERCABARNA 2020","MITJANS","REVISTES",12202.85
"MERCABARNA 2020","MITJANS","INTERNET",1028.5
"MERCABARNA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MERCABARNA 2020","MITJANS","EXTERIOR",0.0
"MERCABARNA 2020","MITJANS","TELEVISIÓ",0.0
"MERCABARNA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MERCATS 2020","MITJANS","PREMSA DIÀRIA",6037.9
"MERCATS 2020","MITJANS","REVISTES",16455.98
"MERCATS 2020","MITJANS","INTERNET",2038.85
"MERCATS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MERCATS 2020","MITJANS","EXTERIOR",0.0
"MERCATS 2020","MITJANS","TELEVISIÓ",0.0
"MERCATS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MERCÈ 2020","MITJANS","PREMSA DIÀRIA",49802.21
"MERCÈ 2020","MITJANS","REVISTES",0.0
"MERCÈ 2020","MITJANS","INTERNET",76465.12
"MERCÈ 2020","MITJANS","EMISSORES DE RÀDIO",24842.95
"MERCÈ 2020","MITJANS","EXTERIOR",0.0
"MERCÈ 2020","MITJANS","TELEVISIÓ",7982.98
"MERCÈ 2020","MITJANS","PROXIMITAT REVISTES",7459.75
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","PREMSA DIÀRIA",60149.9
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","REVISTES",0.0
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","INTERNET",13309.96
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","EMISSORES DE RÀDIO",10173.68
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","EXTERIOR",0.0
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","TELEVISIÓ",0.0
"MOBILITAT A PEU I EN BICICLETA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MOBILITAT I MODEL URBÀ 2020","MITJANS","PREMSA DIÀRIA",79142.81
"MOBILITAT I MODEL URBÀ 2020","MITJANS","REVISTES",0.0
"MOBILITAT I MODEL URBÀ 2020","MITJANS","INTERNET",123570.88
"MOBILITAT I MODEL URBÀ 2020","MITJANS","EMISSORES DE RÀDIO",49798.23
"MOBILITAT I MODEL URBÀ 2020","MITJANS","EXTERIOR",0.0
"MOBILITAT I MODEL URBÀ 2020","MITJANS","TELEVISIÓ",0.0
"MOBILITAT I MODEL URBÀ 2020","MITJANS","PROXIMITAT REVISTES",0.0
"NADAL 2019-2020 ","MITJANS","PREMSA DIÀRIA",52666.19
"NADAL 2019-2020 ","MITJANS","REVISTES",6788.1
"NADAL 2019-2020 ","MITJANS","INTERNET",38739.88
"NADAL 2019-2020 ","MITJANS","EMISSORES DE RÀDIO",0.0
"NADAL 2019-2020 ","MITJANS","EXTERIOR",834.9
"NADAL 2019-2020 ","MITJANS","TELEVISIÓ",0.0
"NADAL 2019-2020 ","MITJANS","PROXIMITAT REVISTES",0.0
"NADAL 2020-2021","MITJANS","PREMSA DIÀRIA",237153.39
"NADAL 2020-2021","MITJANS","REVISTES",34193.73
"NADAL 2020-2021","MITJANS","INTERNET",132246.67
"NADAL 2020-2021","MITJANS","EMISSORES DE RÀDIO",50744.38
"NADAL 2020-2021","MITJANS","EXTERIOR",27545.74
"NADAL 2020-2021","MITJANS","TELEVISIÓ",0.0
"NADAL 2020-2021","MITJANS","PROXIMITAT REVISTES",8481.98
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","PREMSA DIÀRIA",37251.37
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","REVISTES",2648.69
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","INTERNET",21085.27
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","EMISSORES DE RÀDIO",45074.38
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","EXTERIOR",0.0
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","TELEVISIÓ",0.0
"NOTIFICACIÓ ELECTRÒNICA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"OBRIM CARRERS 2020","MITJANS","PREMSA DIÀRIA",0.0
"OBRIM CARRERS 2020","MITJANS","REVISTES",1765.62
"OBRIM CARRERS 2020","MITJANS","INTERNET",28799.31
"OBRIM CARRERS 2020","MITJANS","EMISSORES DE RÀDIO",34815.26
"OBRIM CARRERS 2020","MITJANS","EXTERIOR",0.0
"OBRIM CARRERS 2020","MITJANS","TELEVISIÓ",0.0
"OBRIM CARRERS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","PREMSA DIÀRIA",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","REVISTES",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","INTERNET",9910.58
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","EXTERIOR",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","TELEVISIÓ",0.0
"OFERTA PÚBLICA GUÀRDIA URBANA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"PLATGES 2020","MITJANS","PREMSA DIÀRIA",0.0
"PLATGES 2020","MITJANS","REVISTES",0.0
"PLATGES 2020","MITJANS","INTERNET",0.0
"PLATGES 2020","MITJANS","EMISSORES DE RÀDIO",48010.38
"PLATGES 2020","MITJANS","EXTERIOR",0.0
"PLATGES 2020","MITJANS","TELEVISIÓ",0.0
"PLATGES 2020","MITJANS","PROXIMITAT REVISTES",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","PREMSA DIÀRIA",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","REVISTES",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","INTERNET",9906.52
"PREMIS MONTSERRAT ROIG 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","EXTERIOR",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","TELEVISIÓ",0.0
"PREMIS MONTSERRAT ROIG 2020","MITJANS","PROXIMITAT REVISTES",0.0
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","PREMSA DIÀRIA",19709.93
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","REVISTES",0.0
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","INTERNET",79572.25
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","EXTERIOR",41253.03
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","TELEVISIÓ",16559.97
"PRESSUPOSTOS PARTICIPATIUS 2020","MITJANS","PROXIMITAT REVISTES",18858.93
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","PREMSA DIÀRIA",0.0
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","REVISTES",1058.75
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","INTERNET",6081.71
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","EMISSORES DE RÀDIO",915.95
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","EXTERIOR",0.0
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","TELEVISIÓ",5157.32
"QUINZENA DANSA METROPOLITANA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"REFORÇ COMERÇ LOCAL 2020","MITJANS","PREMSA DIÀRIA",94124.33
"REFORÇ COMERÇ LOCAL 2020","MITJANS","REVISTES",5445.0
"REFORÇ COMERÇ LOCAL 2020","MITJANS","INTERNET",82955.19
"REFORÇ COMERÇ LOCAL 2020","MITJANS","EMISSORES DE RÀDIO",77087.28
"REFORÇ COMERÇ LOCAL 2020","MITJANS","EXTERIOR",9055.14
"REFORÇ COMERÇ LOCAL 2020","MITJANS","TELEVISIÓ",0.0
"REFORÇ COMERÇ LOCAL 2020","MITJANS","PROXIMITAT REVISTES",14729.94
"SETMANA ARQUITECTURA 2020","MITJANS","PREMSA DIÀRIA",0.0
"SETMANA ARQUITECTURA 2020","MITJANS","REVISTES",0.0
"SETMANA ARQUITECTURA 2020","MITJANS","INTERNET",5890.44
"SETMANA ARQUITECTURA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"SETMANA ARQUITECTURA 2020","MITJANS","EXTERIOR",0.0
"SETMANA ARQUITECTURA 2020","MITJANS","TELEVISIÓ",0.0
"SETMANA ARQUITECTURA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","PREMSA DIÀRIA",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","REVISTES",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","INTERNET",1572.9
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","EXTERIOR",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","TELEVISIÓ",0.0
"SETMANA DEL CONSUM RESPONSABLE 2020","MITJANS","PROXIMITAT REVISTES",0.0
"SMART CITY WEEK 2020","MITJANS","PREMSA DIÀRIA",38853.03
"SMART CITY WEEK 2020","MITJANS","REVISTES",0.0
"SMART CITY WEEK 2020","MITJANS","INTERNET",25473.73
"SMART CITY WEEK 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"SMART CITY WEEK 2020","MITJANS","EXTERIOR",0.0
"SMART CITY WEEK 2020","MITJANS","TELEVISIÓ",0.0
"SMART CITY WEEK 2020","MITJANS","PROXIMITAT REVISTES",0.0
"SMOU 2020","MITJANS","PREMSA DIÀRIA",0.0
"SMOU 2020","MITJANS","REVISTES",0.0
"SMOU 2020","MITJANS","INTERNET",59689.3
"SMOU 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"SMOU 2020","MITJANS","EXTERIOR",7275.39
"SMOU 2020","MITJANS","TELEVISIÓ",0.0
"SMOU 2020","MITJANS","PROXIMITAT REVISTES",0.0
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","PREMSA DIÀRIA",8447.51
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","REVISTES",0.0
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","INTERNET",30814.07
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","EMISSORES DE RÀDIO",10304.05
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","EXTERIOR",0.0
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","TELEVISIÓ",0.0
"SUBVENCIONS ECONOMIA SOCIAL I SOLIDÀRIA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","PREMSA DIÀRIA",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","REVISTES",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","INTERNET",36133.75
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","EXTERIOR",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","TELEVISIÓ",0.0
"SUBVENCIONS IMPULS ECONÒMIC 2020","MITJANS","PROXIMITAT REVISTES",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","PREMSA DIÀRIA",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","REVISTES",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","INTERNET",19166.39
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","EXTERIOR",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","TELEVISIÓ",0.0
"TELÈFON PREVENCIÓ SUICIDI 2020","MITJANS","PROXIMITAT REVISTES",0.0
"TIBIDABO 2020","MITJANS","PREMSA DIÀRIA",0.0
"TIBIDABO 2020","MITJANS","REVISTES",0.0
"TIBIDABO 2020","MITJANS","INTERNET",13738.3
"TIBIDABO 2020","MITJANS","EMISSORES DE RÀDIO",5579.79
"TIBIDABO 2020","MITJANS","EXTERIOR",14376.06
"TIBIDABO 2020","MITJANS","TELEVISIÓ",0.0
"TIBIDABO 2020","MITJANS","PROXIMITAT REVISTES",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","PREMSA DIÀRIA",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","REVISTES",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","INTERNET",3739.48
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","EXTERIOR",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","TELEVISIÓ",0.0
"WORLD DATA VIZ CHALLENGE 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ZONA BAIXES EMISSIONS 2020","MITJANS","PREMSA DIÀRIA",30401.75
"ZONA BAIXES EMISSIONS 2020","MITJANS","REVISTES",1149.5
"ZONA BAIXES EMISSIONS 2020","MITJANS","INTERNET",25286.85
"ZONA BAIXES EMISSIONS 2020","MITJANS","EMISSORES DE RÀDIO",32102.66
"ZONA BAIXES EMISSIONS 2020","MITJANS","EXTERIOR",3811.5
"ZONA BAIXES EMISSIONS 2020","MITJANS","TELEVISIÓ",35706.69
"ZONA BAIXES EMISSIONS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ZOO 2020","MITJANS","PREMSA DIÀRIA",0.0
"ZOO 2020","MITJANS","REVISTES",0.0
"ZOO 2020","MITJANS","INTERNET",18135.84
"ZOO 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ZOO 2020","MITJANS","EXTERIOR",9770.92
"ZOO 2020","MITJANS","TELEVISIÓ",0.0
"ZOO 2020","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","PREMSA DIÀRIA",93761.2
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","INTERNET",62635.28
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","EMISSORES DE RÀDIO",12750.98
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts economia","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","PREMSA DIÀRIA",154591.39
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","INTERNET",272909.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","EMISSORES DE RÀDIO",42468.58
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès ciutadà","MITJANS","PROXIMITAT REVISTES",23958.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","PREMSA DIÀRIA",161469.66
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","INTERNET",198070.74
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","EMISSORES DE RÀDIO",10998.9
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts interès social","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","PREMSA DIÀRIA",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","INTERNET",16525.58
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts feminismes-LGTBI","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","PREMSA DIÀRIA",53823.22
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","INTERNET",53240.01
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts ecologia","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","PREMSA DIÀRIA",161469.66
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","INTERNET",40417.74
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","EMISSORES DE RÀDIO",17048.9
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts mobilitat","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","PREMSA DIÀRIA",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","INTERNET",20910.86
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts cultura","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","PREMSA DIÀRIA",2541.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","INTERNET",28023.52
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts educació","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","PREMSA DIÀRIA",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","INTERNET",5780.78
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts barris i equipaments","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","PREMSA DIÀRIA",51832.56
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","INTERNET",11281.86
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","EXTERIOR",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","TELEVISIÓ",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts salut","MITJANS","PROXIMITAT REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts esports","MITJANS","PREMSA DIÀRIA",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts esports","MITJANS","REVISTES",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts esports","MITJANS","INTERNET",5187.87
"CONTINGUTS INTERES CIUTADA 2020 - Continguts esports","MITJANS","EMISSORES DE RÀDIO",0.0
"CONTINGUTS INTERES CIUTADA 2020 - Continguts esports","MITJANS","EXTERIOR",0.0
