"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000001","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I LA SOCIETAT CULTURAL I ESPORTIVA LA LIRA PER A LA GESTIÓ CORESPONSABLE DE L'EDIFICI DEL CARRER COROLEU, 15 I LA PLANTA BAIXA DEL CARRER ABAD ODÓ, 22 DE BARCELONA",52776.75,"13/01/2020","31/12/2023","SOCIETAT CULTURAL I ESPORTIVA LA LIRA DE SANT ANDREU DE PALOMAR"
"C20000002","DISTRICTE DE GRACIA","CONVENI ENTRE EL DISTRICTE DE GRÀCIA I ENCARNACIÓ INVEST, SL. PER A LA REVOCACIÓ DE LA LLICÈNCIA D'EDIFICACIÓ I TRANSMISSIÓ DE LES FINQUES DEL CARRER ENCARNACIÓ, 13-15 I 17",0.0,"22/01/2020","31/12/2020","ENCARNACIÓ INVEST, SL."
"C20000003","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB, EL MINISTERI D'EDUCACIÓ, CULTURA I ESPORTS, EL MINISTERI D'HISENDA I ADMINISTRACIONS PÚBLIQUES, LA GENERALITAT DE CATALUNYA, LA DIPUTACIÓ DE BARCELONA I LA FUNDACIÓ GRAN TEATRE DEL LICEU PER A LA PRÒRROGA I MODIFICACIÓ CONVENI CREACIÓ COMISSIÓ INTERADMINISTRATIVA 20 ANIVERSARI DE LA REOBERTURA DEL LICEU I EL BICENTENARI DE LA CREACIÓ DE LA SOCIETAT D'ACCIONISTES",0.0,"07/01/2020","31/12/2020","MINIST. D'EDUCACIO I CULTURA I ESPORT; MINIST. D'ECONOMIA I HISENDA; DIPUTACIO DE BARCELONA; FUNDACIÓ GRAN TEATRE DEL LICEU"
"C20000004","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'AECAD PER AL DESENVOLUPAMENT D'AVANTATGES ECONÒMICS ALS TITULARS DE LA TARGETA ROSA I TARGETA BARCELONA SOLIDÀRIA PER REDUIR LES DESIGUALTATS SOCIALS EN SALUT BUCODENTAL",0.0,"06/11/2019","","ASSOCIACIÓ EMPRESARIAL CENTRES D'ASSISTÈNCIA DENTAL (AECAD@)"
"C20000005","ECOLOGIA URBANISME MOBILITAT","CONVENI DE DELEGACIÓ PER LA GENERALITAT DE CATALUNYA A L'AJUNTAMENT DE BARCELONA DE LES COMPETÈNCIES PER A LA GESTIÓ DIRECTA DEL PORT OLÍMPIC DE BARCELONA",0.0,"04/02/2020","","CONSELLERIA TERRITORI I SOSTENIBILITAT"
"C20000006","DISTRICTE D'HORTA-GUINARDO","CONVENI ENTRE EL DISTRICTE D'HORTA-GUINARDÓ I EL CONSELL DE LA JOVENTUT DEL DISTRICTE D'HORTA-GUINARDÓ PER A LA GESTIÓ CÍVICA DE L'EQUIPAMENT MUNICIPAL CARRER HORTA, 71",77850.0,"24/01/2020","31/12/2020","CONSELL DE LA JOVENTUT D'HORTA-GUINARDO"
"C20000007","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I EL SR. XAVIER MARTÍN VILÀ RELATIU A LA DONACIÓ D'UN PERGAMÍ DEL SEGLE XV",0.0,"28/01/2020","","XAVIER MARTÍN VILÀ"
"C20000008","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I L'ASSOCIACIÓ VEÏNAL LA VINYA PER A LA GESTIÓ DE L'EQUIPAMENT DEL CASAL DE BARRI LA VINYA",0.0,"10/02/2020","31/12/2020","ASSOC. VEÏNAL LA VINYA"
"C20000009","BARCELONA SERVEIS MUNICIPALS SA","CONVENI ENTRE BSM, LA SOCIEDAD GESTORA CONJUNTO PALEONTOLÓGICO DE TERUEL I EL PARC D'ATRACCIONS TIBIDABO PER A LA TEMPORADA 2020 TIBICLUB",0.0,"20/01/2020","06/01/2021","SOCIETAT GESTORA DEL CONJUNT PALEONTOLOGIC DE TEROL SA"
"C20000010","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I L'ASSOCIACIÓ DE VEÏNS SANT CRISTÒFOL PER A LA GESTIÓ DE L'EQUIPAMENT DEL CASAL DE BARRI SANT CRISTÒFOL",32000.0,"06/02/2020","31/12/2020","ASSOCIACIÓ DE VEÏNS SANT CRISTÒFOL"
"C20000011","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","SEGONA PRÒRROGA I MODIFICACIÓ CLÀUSULA 6 CONVENI MARC ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ UNIVERSITAT POMPEU FABRA",0.0,"24/01/2020","01/02/2020","UNIVERSITAT POMPEU FABRA"
"C20000012","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'INSTITUT DE SEGURETAT PÚBLICA DE CATALUNYA COM A CENTRE ADSCRIT A LA UNIVERSITAT DE BARCELONA I MODIFICACIÓ DE LA CLÀUSULA 6.1",0.0,"10/02/2020","28/02/2021","INSTITUT DE SEGURETAT PÚBLICA DE CATALUNYA"
"C20000013","AJUNTAMENT DE BARCELONA","ACORD ENTRE L'AJUNTAMENT DE BARCELONA I EL GOVERN D'ESPANYA PER LA CAPITALITAT CULTURAL I CIENTÍFICA DE BARCELONA, DONAR SUPORT III CONFERÈNCIA INTERNACIONAL D'EDUCACIÓ SUPERIOR DE LA UNESCO I CONVOCATÒRIA COMISSIÓ DE COL·LABORACIÓ INTERADMINISTRATIVA",0.0,"07/02/2020","","PRESIDENCIA DEL GOBIERNO"
"C20000014","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I I EL DISTRICTE DE SARRIÀ-SANT GERVASI PER A LA CESSIÓ D'INSTRUMENTS MUSICALS DECOMISSATS A LA VIA PÚBLICA I NO RECOLLITS PELS TITULARS",0.0,"13/01/2020","","DISTRICTE DE SARRIA-SANT GERVASI"
"C20000015","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'INSTITUT CATALÀ DE LES EMPRESES CULTURALS EN EL MARC DE LA CAMPANYA ""ESCENA 25""",0.0,"02/01/2020","31/12/2020","INSTITUT CATALA DE LES EMPRESES CULTURALS (ICEC)"
"C20000016","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA UTE JULIATRAVEL, SA., MARFINA, SL., PER A LA PROMOCIÓ DELS CENTRES MUHBA A TRAVÉS DE LES RUTES BARCELONA CITY TOUR",2178.0,"02/01/2020","02/01/2022","UTE JULIATRAVEL SA MARFINA SL"
"C20000017","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I TRITÓ, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING DE KOOBIN PER A LA VENDA D'ENTRADES DELS ESPECTACLES DE BCN CLÀSSICS A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"02/01/2020","","TRITÓ, SL."
"C20000018","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ JOAN MIRÓ PER A LA SEVA PARTICIPACIÓ EN LA JORNADA IN MUSEU",0.0,"01/02/2020","01/02/2021","FUNDACIÓ JOAN MIRO"
"C20000019","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL CONSORCI DEL MUSEU DE CIÈNCIES NATURALS DE BARCELONA PER A LA SEVA PARTICIPACIÓ EN LA JORNADA IN-MUSEU",0.0,"01/02/2020","01/02/2021","CONSORCI MUSEU CIENCIES NATURALS BCN"
"C20000020","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL MUSEU NACIONAL D'ART DE CATALUNYA PER A LA SEVA PARTICIPACIÓ EN LA JORNADA IN-MUSEU",0.0,"01/02/2020","01/02/2021","MUSEU NACIONAL D'ART DE CATALUNYA-MNAC"
"C20000021","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL MUSEU DE LA MÚSICA DE BARCELONA PER A LA SEVA PARTICIPACIÓ EN LA JORNADA IN-MUSEU",0.0,"01/02/2020","01/02/2021","CONSORCI AUDITORI I ORQUESTRA"
"C20000022","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I EL CONSORCI MUSEU D'ART CONTEMPORANI DE BARCELONA PER A LA SEVA PARTICIPACIÓ EN LA JORNADA IN-MUSEU",0.0,"01/02/2020","01/02/2021","MUSEU D'ART CONTEMPORANI DE BARCELONA (MACBA)"
"C20000023","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA FUNDACIÓ BARCELONA CULTURA PER DONAR SUPORT PROMOCIONANT I SPONSORITZANT PROJECTES CULTURALS I CREATIUS DE LA CIUTAT DE BARCELONA",0.0,"29/01/2020","31/12/2023","FUNDACIÓ BARCELONA CULTURA"
"C20000024","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I ESCOLES DE MÚSICA D'INICIATIVA PRIVADA DE CATALUNYA EN MATÈRIA D'AJUTS DE FORMACIÓ MUSICAL",130000.0,"10/01/2020","30/09/2020","ESCOLES DE MÚSICA D'INICIATIVA PRIVADA DE CATALUNYA (EMIPAC)"
"C20000025","INSTITUT BARCELONA ESPORTS","CONVENI ENTRE L'IBE I VOLTA CICLISTA A CATALUNYA, ASSOCIACIÓ ESPORTIVA PER A L'EXECUCIÓ DE LES EDICIONS DE LA VOLTA CICLISTA A CATALUNYA  DELS ANYS 2020, 2021, 2022 I 2023",650000.0,"07/02/2020","30/06/2023","VOLTA CICLISTA A CATALUNYA, ASSOCIACIÓ ESPORTIVA"
"C20000026","INST.PAISATGE URBA I QV","CONVENI ENTRE L'IMPUIQV I EL MUSEU DEL MODERNISME PER OFERIR DESCOMPTES ADDICIONALS AMB MOTIU D'ALTRES CAMPANYES PROMOGUDES PER LA RUTA DEL MODERNISME",0.0,"31/01/2020","31/01/2024","MUSEU DEL MODERNISME CATALA"
"C20000027","SEGURETAT I MOBILITAT","CONVENI D'ADHESIÓ ACCÉS TELEMÀTIC PER PART DE L'HOSPITAL UNIVERSITARI SAGRAT COR A LES DADES BÀSIQUES, DERIVADES D'ACCIDENTS DE TRÀNSIT DE L'APLICACIÓ DE LA GUÀRDIA URBANA DE L'AJUNTAMENT DE BARCELONA",0.0,"24/01/2020","24/01/2024","HOSPITAL DE SANT RAFAEL-GERMANES HOSPITALÀRIES DEL SAGRAT COR DE JESÚS"
"C20000028","SEGURETAT I MOBILITAT","CONVENI D'ADHESIÓ PER A L'ACCÉS TELEMÀTIC PER PART DE L'HOSPITAL UNIVERSITARI GENERAL DE CATALUNYA A LES DADES BÀSIQUES DERIVADES D'ACCIDENTS DE TRÀNSIT DE L'APLICACIÓ DE LA GUÀRDIA URBANA DE L'AJUNTAMENT DE BARCELONA",0.0,"24/01/2020","24/01/2024","HOSPITAL UNIVERSITARI GENERAL DE CATALUNYA"
"C20000029","SEGURETAT I MOBILITAT","CONVENI D'ADHESIÓ PER A L'ACCÉS TELEMÀTIC PER PART DE L'HOSPITAL QUIRÓN SALUD VALLÈS A LES DADES BÀSIQUES DERIVADES D'ACCIDENTS DE TRÀNSIT DE L'APLICACIÓ DE LA GUÀRDIA URBANA DE L'AJUNTAMENT DE BARCELONA",0.0,"24/01/2020","24/01/2024","HOSPITAL QUIRÓN SALUD VALLÈS"
"C20000030","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ SETBA QUE REGULA L'ACCIÓ ARTÍSTICA VINCULADA AL PROJECTE FOTOGRÀFIC ANOMENAT ""MUSES DE L'OMBRA A LA LLUM""EN EL MARC DEL DIA INTERNACIONAL DE LA DONA",0.0,"27/02/2020","25/03/2020","FUNDACIÓ SETBA"
"C20000031","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I TELEFÒNICA INFRAESTRUCTURA TELECOMUNICACIONS CORRESPONENT AL CARRER MESTRES CASALS I MARTORELL, 18 AL DISTRICTE DE CIUTAT VELLA",0.0,"02/03/2020","","TELEFONICA D'ESPANYA, SA."
"C20000032","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I TELEFÒNICA INFRAESTRUCTURA TELECOMUNICACIONS CORRESPONENT CARRER CLARAMUNT AMB CARRER BARNOLA I CARRER BELLMUNT AL DISTRICTE DE SANT ANDREU",0.0,"02/03/2020","","TELEFONICA D'ESPANYA, SA."
"C20000033","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I TELEFÒNICA INFRAESTRUCTURA TELECOMUNICACIONS CORRESPONENT AL CARRER TEMPLERS ENTRE CIUTAT I CARRER GEGANTS AL DISTRICTE DE CIUTAT VELLA",0.0,"02/03/2020","","TELEFONICA D'ESPANYA, SA."
"C20000034","SEGURETAT I MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT AUTÒNOMA DE BARCELONA PROJECTE RIGHTSAPP QUE TÉ COM A OBJECTIU PRINCIPAL ASSISTIR ALS CIUTADANS DE LA UNIÓ EUROPEA QUAN ESDEVENEN VÍCTIMES DEL DELICTE",0.0,"28/01/2020","28/01/2022","UNIVERSITAT AUTONOMA DE BARCELONA"
"C20000035","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI PROJECTE EXECUTIU CAMP DE FUTBOL PROVISIONAL AL BARRI DE BARÓ DE VIVER AL DISTRICTE DE SANT ANDREU",0.0,"02/04/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000036","PATRIMONI","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSORCI DEL MUSEU D'ART CONTEMPORANI DE BARCELONA, REGULADOR DELS ACORDS PER A L'AMPLIACIÓ DEL MUSEU D'ART CONTEMPORANI DE BARCELONA (MACBA) I RETORN A L'AJUNTAMENT DE LA CAPELLA DE LA MISERICÒRDIA",0.0,"24/02/2020","","MUSEU D'ART CONTEMPORANI DE BARCELONA (MACBA)"
"C20000037","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I E-DISTRIBUCIÓN PER A LA REURBANITZACIÓ DE LA PLAÇA SÓLLER AL BARRI DE LA PORTA AL DISTRICTE DE NOU BARRIS",0.0,"16/04/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000038","SERVEIS GENERALS","ACORD DE COL·LABORACIÓ ENTRE L'AJUNTAMENT DE BARCELONA I AIGÜES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIÓ DEL CICLE INTEGRAL DE L'AIGUA, SA.",0.0,"23/04/2020","","EMPR.METROP. CICLE INTEGRAL AIGUA"
"C20000039","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓN DE ESTUDIOS LIBERTARIOS ANSELMO LORENZO PER A LA CESSIÓ D'IMATGES I DRETS DE LES IMATGES PER AL LLIBRE ""GRÀFICA OBRERA I ANARQUISTA"" EN DOS VOLUMS",0.0,"23/01/2020","31/12/2021","FUNDACIÓN ESTUDIOS LIBERTARIOS ANSELMO LORENZO (FAL)"
"C20000040","SERVEIS GENERALS","CONVENI ENTRE L'INSTITUT DE CULTURA DEMOCRÀTICA A L'ERA DIGITAL PER A LA BÚSTIA ÈTICA I DE BON GOVERN (PROTOCOL MARC DE COL·LABORACIÓ AMB XNET PER ESTABLIR UNA VIA DE COMUNICACIÓ PER DIFONDRE I ENFORTIR LA BÚSTIA ÈTICA COM A PARADIGMA DE CANAL DE COMUNICACIONS I EINA LLUITA COANTRA EL FRAU I LA CORREUPCIÓ",0.0,"11/03/2020","","XNET; FERROCARRILS GENERALITAT CATALUNYA"
"C20000041","ECOLOGIA URBANISME MOBILITAT","CONVENI URBANÍSTIC CORRESPONENT A L'ÀMBIT DELIMITAT PELS CARRERS DE SINAÍ, DE NATZARET I DE SAMARIA ENTRE L'AJUNTAMENT DE BARCELONA I FELTEN SPV 2018, SL.",0.0,"14/05/2020","","FELTEN SPV 2018, SL."
"C20000042","DISTRICTE DE LES CORTS","CONVENI ENTRE EL DISTRICTE DE LES CORTS, EL CENTRE D'ESTUDIS MUSICALS A TEMPO, VOX MUSIC I L'ASSOCIACIÓ PER L'ALTRE COR CREMAT DE BARCELONA-AJUT AL QUART MÓN, PER A L'ORGANITZACIÓ DEL CONCURS INTERNACIONAL DE MÚSICA DE LES CORTS 2020",0.0,"22/05/2020","","ASSOC. VOX MUSIC"
"C20000043","ECOLOGIA URBANISME MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA GENERALITAT DE CATALUNYA PER A LA MODIFICACIÓ DELS TERMINIS ATORGATS EN EL CONVENI FORMALITZAT EL 10-1-17 PER A LA REORDENACIÓ DELS EQUIPAMENTS PENITENCIARIS A LA CIUTAT DE BARCELONA, POSTERIORMENT MODIFICAT EL 16-1-18 I 13-5-19",0.0,"28/02/2020","30/06/2020","CONSELLERIA D'ECONOMIA I FINANCES; CONSELLERIA DE JUSTICIA"
"C20000044","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSORCI MAR PARC DE SALUT DE BARCELONA PER AL DESENVOLUPAMENT DEL PROGRAMA D'ATENCIÓ INTEGRAL PERSONAL MUNICIPAL (PAIPEM)",73689.0,"03/06/2020","03/06/2023","CONSORCI MAR PARC SALUT BCN"
"C20000045","BARCELONA INFRAESTRUCTURES MUNICIPALS SA (BIMSA)","CONVENI ENTRE BIMSA I E-DISTRIBUCIÓN PROJECTE EXECUTIU TÚNELS VIARIS A LA PLAÇA DE LES GLÒRIES, ENTRE ELS CARRERS BADAJOZ I CASTILLEJO: SEPARATA OBRA CIVIL TÚNEL 1 I TÚNELS VIARIS PLAÇA DE LES GLÒRIES, ENTRE ELS CARRERS BADAJOZ I RAMBLA DEL POBLENOU: SEPARATA  OBRA CIVIL TÚNEL 2",0.0,"04/06/2020","","EDISTRIBUCIÓN REDES DIGITALES, SL."
"C20000046","DISTRICTE D'HORTA-GUINARDO","CONVENI ENTRE EL DISTRICTE D'HORTA-GUINARDÓ, EL SERVEI CATALÀ DE LA SALUT I L'HOSPITAL UNIVERSITARI DE LA VALL D'HEBRON PER A L'AUTORITZACIÓ PROVISIONAL DE L'OCUPACIÓ D'UN ESPAI DE LA FINCA MUNICIPAL SITUADA EN EL PASSEIG DE LA VALL D'HEBRON, 138-160 PER CONTINUAR AMB L'UBICACIÓ D'UN HELIPORT",0.0,"06/04/2020","01/03/2022","SERVEI CATALA DE LA SALUT; HOSPITAL UNIVERSITARI VALL D'HEBRON"
"C20000047","","ANNEX III PROTOCOL D'ADHESIÓ DE L'ESTRUCTURA ""BÚSTIA ÈTICA I DE BON GOVERN"" DE L'AJUNTAMENT DE BARCELONA",0.0,"10/03/2020","","GENERALITAT DE CATALUNYA"
"C20000048","DISTRICTE DE LES CORTS","CONVENI ENTRE EL DISTRICTE DE LES CORTS, EL DEPARTAMENT DE PRESIDÈNCIA DE LA GENERALITAT DE CATALUNYA I CONCERT STUDIO, SL. ADDENDA PER AL DESENVOLUPAMENT DEL FESTIVAL INTERNACIONAL DE MÚSICA ALS JARDINS I DIVERSES ESTANCES DEL COMPLEX DEL PALAU DE PEDRALBES",0.0,"07/07/2020","30/09/2020","DEP. PRESIDENCIA GENERALITAT; CONCERTS ESTUDIO, S.L."
"C20000049","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'ASSOCIACIÓ DE DIABÈTICS DE CATALUNYA PER A LA DIFUSIÓ ENTRE EL SEU COL·LECTIU DEL PROJECTE QUE TÉ PER OBJECTE L'ABASTIMENT GRATUÏT DE PRODUCTES ALIMENTARIS BÀSICS A LA POBLACIÓ DE RISC DAVANT LA COVID-19",0.0,"17/06/2020","","ASSOCIACIÓ DE DIABÈTICS DE CATALUNYA"
"C20000050","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LINE SPORTS AND ENTERTAINMENT, SL. PER A L'ABASTIMENT GRATUÏT DE PRODUCTES ALIMENTARIS BÀSICS A POBLACIÓ DE RISC DAVANT LA COVID-19",0.0,"17/06/2020","17/06/2020","LINE SPORTS AND ENTERTAINMENT, SL."
"C20000051","GERÈNCIA D'ECOLOGIA URBANA","CONVENI URBANÍSTIC ENTRE L'AJUNTAMENT DE BARCELONA I LA UNIVERSITAT DE BARCELONA CORRESPONENT A L'EQUIPAMENT SITUAT AL CARRER DE CAN RÀBIA NÚM. 7-9",0.0,"21/07/2020","","UNIVERSITAT DE BARCELONA"
"C20000052","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FUNDACIÓ JACINT VERDAGUER DE FOLGUEROLESDINS DEL PROJECTE DEL MUSEU D'HISTÒRIA DE BARCELONA EN ELS ÀMBITS DE LA CONSERVACIÓ, LA RECERCA I LA COMUNICACIÓ",0.0,"10/01/2020","31/12/2021","FUNDACIÓ JACINT VERDAGUER"
"C20000053","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I LA FUNDACIÓ GOTEO PER AL PROJECTE DE MATCHFUNDING DE LA FABRA I COATS 2020",0.0,"15/01/2020","30/09/2020","FUNDACIÓ GOTEO"
"C20000054","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURAL I 4TICKETS, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"31/01/2020","09/03/2021","4TICKETS SL"
"C20000055","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I EL CONSORCI DE BIBLIOTEQUES DE BARCELONA PER A L'ELABORACIÓ I IMPLEMENTACIÓ D'UN PLA DE PROMOCIÓ DE LA LECTURA PER A LA CIUTAT DE BARCELONA",0.0,"21/01/2020","31/05/2020","CONSORCI DE BIBLIOTEQUES DE BARCELONA"
"C20000056","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I CONCERTS ESTUDIO, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING ONEBOX A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"06/02/2020","30/04/2021","CONCERTS ESTUDIO, S.L."
"C20000057","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I PELAIMAS, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"07/02/2020","31/03/2021","PELAIMAS, SL"
"C20000058","INSTITUT DE CULTURA","CONVENI ENTRE L'INSTITUT DE CULTURA I THE PROJECT MUSIC COMPANY, SL. PER A LA INSTAL·LACIÓ I GESTIÓ DEL SISTEMA DE TICKETING A LES TAQUILLES DEL PALAU DE LA VIRREINA",0.0,"10/02/2020","18/04/2021","THE PROJECT MUSIC COMPANY SL"
